"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R126","3-0603","871.67mil","992.842mil","871.669mil","992.843mil","871.67mil","1026.306mil","T","270.00",""
"R127","3-0603","1962.22mil","992.842mil","1962.22mil","992.843mil","1962.22mil","1026.306mil","T","270.00",""
"R128","3-0603","1320.488mil","984.968mil","1320.488mil","984.969mil","1320.488mil","1018.432mil","T","270.00",""
"R129","3-0603","2411.038mil","984.968mil","2411.039mil","984.969mil","2411.038mil","1018.432mil","T","270.00",""
"R130","3-0603","1281.118mil","575.52mil","1281.118mil","575.52mil","1314.582mil","575.52mil","T","180.00",""
"R131","3-0603","2367.732mil","575.52mil","2367.732mil","575.52mil","2401.196mil","575.52mil","T","180.00",""
"TP1","TP","3468mil","1276mil","3468mil","1276mil","3468mil","1276mil","T","0.00","TP"
"TP2","TP","3737mil","1872mil","3737mil","1871.999mil","3737mil","1872mil","T","0.00","TP"
"TP3","TP","1964.19mil","2417.056mil","1964.189mil","2417.055mil","1964.19mil","2417.056mil","T","270.00","TP"
"TP4","TP","3066.552mil","1901.308mil","3066.551mil","1901.307mil","3066.552mil","1901.308mil","T","0.00","TP"
"TP5","TP","3527mil","1276mil","3527mil","1276mil","3527mil","1276mil","T","0.00","TP"
"TP6","TP","3290.002mil","1968mil","3290mil","1968mil","3290.002mil","1968mil","T","0.00","TP"
"TP7","TP","1905.134mil","2432.802mil","1905.134mil","2432.803mil","1905.134mil","2432.802mil","T","270.00","TP"
"TP8","TP","3124.002mil","1914mil","3124mil","1914mil","3124.002mil","1914mil","T","0.00","TP"
"TP9","TP","3652mil","1273mil","3652mil","1273mil","3652mil","1273mil","T","0.00","TP"
"TP10","TP","1143mil","2030mil","1143mil","2030mil","1143mil","2030mil","T","0.00","TP"
"TP11","TP","3590.002mil","1273mil","3590mil","1273mil","3590.002mil","1273mil","T","0.00","TP"
"TP12","TP","2865mil","1624mil","2864.999mil","1624.001mil","2865mil","1624mil","T","0.00","TP"
"TP13","TP","1198mil","2085mil","1198mil","2085mil","1198mil","2085mil","T","0.00","TP"
"TP14","TP","3814.584mil","1401.308mil","3814.583mil","1401.307mil","3814.584mil","1401.308mil","T","0.00","TP"
"TP15","TP","3577mil","1934mil","3576.999mil","1933.999mil","3577mil","1934mil","T","0.00","TP"
"TP16","TP","3814.582mil","1338.316mil","3814.583mil","1338.315mil","3814.582mil","1338.316mil","T","0.00","TP"
"TP17","TP","1551mil","1734mil","1551mil","1734mil","1551mil","1734mil","T","0.00","TP"
"TP18","TP","3128mil","1762mil","3127.998mil","1762mil","3128mil","1762mil","T","0.00","TP"
"TP19","TP","3814.584mil","1523.354mil","3814.583mil","1523.354mil","3814.584mil","1523.354mil","T","0.00","TP"
"TP20","TP","1327.002mil","2062mil","1327mil","2062mil","1327.002mil","2062mil","T","0.00","TP"
"TP21","TP","3814.584mil","1464.3mil","3814.583mil","1464.299mil","3814.584mil","1464.3mil","T","0.00","TP"
"TP22","TP","3196mil","1924mil","3195.999mil","1923.999mil","3196mil","1924mil","T","0.00","TP"
"TP23","TP","2834.268mil","1873.748mil","2834.268mil","1873.748mil","2834.268mil","1873.748mil","T","0.00","TP"
"TP24","TP","3038mil","1425mil","3037.998mil","1425mil","3038mil","1425mil","T","0.00","TP"
"TP25","TP","2641mil","1672mil","2641mil","1672mil","2641mil","1672mil","T","0.00","TP"
"TP26","TP","2258mil","1812mil","2258mil","1812mil","2258mil","1812mil","T","0.00","TP"
"TP27","TP","2566mil","1563mil","2566mil","1563mil","2566mil","1563mil","T","270.00","TP"
"TP28","TP","2499.622mil","1873.748mil","2499.622mil","1873.748mil","2499.622mil","1873.748mil","T","0.00","TP"
"TP29","TP","3886mil","1854mil","3885.998mil","1854mil","3886mil","1854mil","T","0.00","TP"
"TP30","TP","2855mil","1988mil","2854.999mil","1988mil","2855mil","1988mil","T","0.00","TP"
"TP31","TP","1301mil","1258mil","1301mil","1258mil","1301mil","1258mil","T","0.00","TP"
"TP32","TP","1567mil","1968mil","1567mil","1967.999mil","1567mil","1968mil","T","0.00","TP"
"TP33","TP","1359.002mil","1258mil","1359mil","1258mil","1359.002mil","1258mil","T","0.00","TP"
"TP34","TP","1117mil","1969mil","1117mil","1969mil","1117mil","1969mil","T","0.00","TP"
"TP35","TP","1481mil","1258mil","1481mil","1258mil","1481mil","1258mil","T","0.00","TP"
"TP36","TP","1423mil","1258mil","1423mil","1258mil","1423mil","1258mil","T","0.00","TP"
"TP37","TP","1645.292mil","1420.992mil","1645.291mil","1420.992mil","1645.292mil","1420.992mil","T","0.00","TP"
"TP38","TP","1645.292mil","1358mil","1645.291mil","1358mil","1645.292mil","1358mil","T","0.00","TP"
"TP39","TP","1645.292mil","1550.914mil","1645.291mil","1550.913mil","1645.292mil","1550.914mil","T","0.00","TP"
"TP40","TP","1645.292mil","1487.922mil","1645.291mil","1487.921mil","1645.292mil","1487.922mil","T","0.00","TP"
"TP41","TP","1058.002mil","1970mil","1058mil","1970mil","1058.002mil","1970mil","T","0.00","TP"
"TP42","TP","854.002mil","1442mil","854mil","1442mil","854.002mil","1442mil","T","0.00","TP"
"TP43","TP","3102mil","2048mil","3101.999mil","2048.001mil","3102mil","2048mil","T","0.00","TP"
"TP44","TP","3200mil","2612mil","3200mil","2612mil","3200mil","2612mil","T","90.00","TP"
"TP45","TP","2327.394mil","1593mil","2327.393mil","1593.001mil","2327.394mil","1593mil","B","180.00","TP"
"TP46","TP","4685mil","793mil","4685mil","793mil","4685mil","793mil","T","0.00","TP"
"TP47","TP","3778mil","2824mil","3777.999mil","2824.001mil","3778mil","2824mil","T","360.00","TP"
"TP48","TP","2980mil","1307mil","2980mil","1307mil","2980mil","1307mil","T","0.00","TP"
"TP49","TP","794mil","1327mil","794mil","1327mil","794mil","1327mil","T","0.00","TP"
"TP50","TP","2702.998mil","2233mil","2703mil","2233mil","2702.998mil","2233mil","B","180.00","TP"
"TP51","TP","1260mil","2555mil","1259.998mil","2555.001mil","1260mil","2555mil","T","0.00","TP"
"TP52","TP","134mil","771mil","134mil","771mil","134mil","771mil","B","180.00","TP"
"TP53","TP","4209.002mil","1993mil","4209mil","1993mil","4209.002mil","1993mil","T","0.00","TP"
"TP54","TP","2147.002mil","1230mil","2147mil","1230mil","2147.002mil","1230mil","T","0.00","TP"
"TP55","TP","2224mil","1615mil","2224mil","1615mil","2224mil","1615mil","T","0.00","TP"
"TP56","TP","3135mil","2673mil","3134.999mil","2672.999mil","3135mil","2673mil","T","360.00","TP"
